Author,Geographic Location,Century(s) of Author Lifetime\Birth-Death Dates,Work Title,Date Range of Work,URN,Genre,Notes
Adamantius Judaeus,"Alexandria, Egypt",500 CE,Physiognomonica,412 CE-450 CE,urn:cts:greekLit:tlg0731.tlg001.1st1K-grc1,Medical Texts,
Adamantius Judaeus,"Alexandria, Egypt",500 CE,Physiognomonica (epitome Matritensis),412 CE-450 CE,urn:cts:greekLit:tlg0731.tlg003.1st1K-grc1,Medical Texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Περὶ κυρίων καὶ ἐπιθέτων καὶ προσηγορικῶν μονόβιβλον,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg003.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Περὶ διχρόνων,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg004.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Περὶ πνευμάτων,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg005.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Περὶ Ἀττικῆς προσῳδίας,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg006.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Περὶ Ἰλιακῆς προσῳδίας,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg007.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Περὶ Ὀδυσσειακῆς προσῳδίας,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg008.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Περὶ παθῶν,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg009.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Ἐκ τῶν Ἡρωδιανοῦ ὑπομνημάτων τῶν περὶ παθῶν Διδύμου,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg009a.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Περὶ συντάξεως τῶν στοιχείων,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg010.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Περὶ ὀρθογραφίας,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg011.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Περὶ ὀνομάτων,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg012.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Περὶ κλίσεως ὀνομάτων,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg013.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Εἰς τὸ περὶ γενῶν Ἀπολλωνίου ὑπόμνημα,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg014.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Μονόβιβλον περὶ τοῦ ὕδωρ,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg015.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Περὶ τοῦ ζώς,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg016.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Περὶ συζυγιῶν,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg017.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Μονόβιβλον περὶ τοῦ μὴ πάντα τὰ ῥήματα κλίνεσθαι εἰς πάντας τοὺς χρόνους,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg018.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Περὶ μετοχῶν,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg019.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Μονόβιβλον περὶ τοῦ ἦν,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg020.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Περὶ ῥημάτων,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg021.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Περὶ τῶν εἰς μι,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg022.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Περὶ ἀντωνυμιῶν,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg023.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Περὶ ἐπιρρημάτων,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg024.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Περὶ σχημάτων \ De Figuris,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg025.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Περὶ παρωνύμων,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg026.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Περὶ ῥηματικῶν ὀνομάτων,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg027.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Περὶ μονοσυλλάβων,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg028.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Περὶ γάμου καὶ συμβιώσεως,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg029.1st1K-grc1,Grammatical texts,
